region1,region2,exp_cap,log_exp_cap,perc_urban,perc_formal,perc_smp,perc_sma
Indonesia Barat,Sumatera,682047.94,13.432856,.088392891,.16127878,.29721069,.13580555
Indonesia Barat,Sumatera,729395.56,13.499971,.095636971,.13677175,.26902664,.14523947
Indonesia Barat,Sumatera,745117.63,13.521297,.13992417,.35113841,.33190119,.15720993
Indonesia Barat,Sumatera,748334.88,13.525606,.2211203,.38093287,.42460948,.25374615
Indonesia Barat,Sumatera,753475.31,13.532452,0,.11066581,.29451856,.11794157
Indonesia Barat,Sumatera,758315.38,13.538855,.37355116,.46822858,.41469312,.27928308
Indonesia Barat,Sumatera,760110.13,13.541219,.31748587,.36618054,.36616394,.20997934
Indonesia Barat,Sumatera,767767.13,13.551242,.10072288,.15904576,.33955273,.18377802
Indonesia Barat,Sumatera,781236.06,13.568633,.21366222,.19617634,.35596809,.16744004
Indonesia Barat,Sumatera,782655.13,13.570447,.16615047,.46744803,.3684237,.16664162
Indonesia Barat,Sumatera,785736.06,13.574376,.20793062,.28003782,.29725829,.1610675
Indonesia Barat,Sumatera,786991.25,13.575973,.25984466,.3128356,.39581281,.19842632
Indonesia Barat,Sumatera,794770.63,13.585809,.26396093,.24860178,.39077872,.22567616
Indonesia Barat,Sumatera,807289.06,13.601437,.16953191,.16202994,.47508258,.30483288
Indonesia Barat,Sumatera,809098.5,13.603676,.12495131,.27177835,.38849398,.18871425
Indonesia Barat,Sumatera,812518.75,13.607894,.19085789,.15465006,.44225773,.25580576
Indonesia Barat,Sumatera,824604.5,13.622659,.18784796,.18097439,.28610185,.17777982
Indonesia Barat,Sumatera,824777.81,13.622869,.12998866,.32549536,.3912642,.21306661
Indonesia Barat,Sumatera,833294.63,13.633142,.23104957,.34366146,.3883526,.25444472
Indonesia Barat,Sumatera,835028.5,13.635221,.099151015,.30093342,.30095196,.13477692
Indonesia Barat,Sumatera,836689.75,13.637209,.39934009,.40356594,.40251502,.21780317
Indonesia Barat,Sumatera,837570.88,13.638261,.20985849,.2596083,.41574028,.22553928
